debut application;fin application;mise a jour;status;cause;titre du message;corps du message;type objet;code objet référentiel IdFM
2022-01-27T23:45:00+01:00;2022-01-28T03:30:00+01:00;2021-11-25T18:45:18+01:00;future;travaux;Ligne D : Paris Lyon-Villeneuve St-G  10/1 au 4/2;<p>Période : en semaine à partir de 22h45  <br>Dates : du lundi 10 janvier au vendredi 4 février  <br>Le trafic est interrompu entre Paris Gare de Lyon et Villeneuve-Saint-Georges.<br>Un service de bus de remplacement est mis en place, avec desserte des gares intermédiaires.<br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif : travaux.</p>;line;C01728
2022-01-21T00:20:00+01:00;2022-01-21T03:30:00+01:00;2021-11-25T16:15:02+01:00;future;travaux;Ligne D : Paris Nord - Creil du 3/1 au 4/2;<p>Période : en semaine à partir de 23h20  <br>Dates : du lundi 3 janvier au vendredi 4 février<br>Le trafic est interrompu entre Paris Gare du Nord et Creil.<br>Un service de bus de remplacement est mis en place entre:<br>Saint-Denis Université et Creil<br>Saint-Denis Université et Goussainville<br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif : travaux de maintenance.</p>;line;C01728
2022-01-23T06:00:00+01:00;2022-01-24T03:00:00+01:00;2021-11-25T20:40:04+01:00;future;travaux;Ligne D : Paris Lyon-Villeneuve St-G le 23 janvier;<p>Période : toute la journée<br>Dates : dimanche 23 janvier<br>Moins de trains entre Paris Gare de Lyon et Villeneuve-Saint-Georges.<br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif : travaux.</p>;line;C01728
2021-11-08T01:00:00+01:00;2022-07-18T01:59:00+02:00;2021-10-29T12:35:02+02:00;active;perturbation;MLV - L14 travaux Lesches du 8-11-21 au 17-07-22;"<p><div class=""fckcontainer""><p>En raison de travaux de r&eacute";line;C00911
2021-12-11T05:00:00+01:00;2021-12-13T04:00:00+01:00;2021-11-19T14:50:07+01:00;future;travaux;Ligne K : Paris Nord - Mitry-Claye 11-12/12;"<p>Période : toute la journée<br>Dates : samedi 11 et dimanche 12 décembre<br>Le trafic est interrompu entre Paris Gare du Nord et Mitry - Claye.<br>Un service de bus de remplacement est mis en place entre Paris Gare du Nord et Compans.<br><a href=""https://www.transilien.com/sites/transilien/files/2021-11/20211211-K-V2-K%2021%20we%2011%2012%20decembre_.pdf"" target="""">Pour plus d'informations, cliquez ici pour télécharger l'affiche PDF.</a><br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif : travaux.</p>";line;C01738
2021-10-11T02:00:00+02:00;2022-01-01T00:59:00+01:00;2021-10-12T12:05:19+02:00;active;perturbation;Réseau Fontainebleau - Travaux Samoreau;"<p><div class=""fckcontainer""><p>Du Lundi 11 Octobre 2021 au Vendredi 31 D&eacute";line;C02202
2021-11-25T01:00:00+01:00;2022-01-11T00:59:00+01:00;2021-11-23T16:25:05+01:00;active;perturbation;Ligne 4 - Bezons - Travaux;"<p><div class=""fckcontainer""><p>En raison de travaux, la circulation de votre ligne sera modifi&eacute";line;C00295
2021-10-25T08:00:00+02:00;2022-07-10T22:00:00+02:00;2021-10-21T14:25:05+02:00;active;perturbation;Travaux à FONTAINEBLEAU;"<p><div class=""fckcontainer""><p>Ligne 7B : En raison des travaux Place de l'Etape &agrave";line;C01958
2021-12-01T23:00:00+01:00;2021-12-18T05:15:00+01:00;2021-11-13T00:45:02+01:00;future;travaux;Tramway T6 : Travaux > Trafic interrompu;<p>À partir du mercredi 1 décembre 2021, en raison de travaux, le trafic sera interrompu de 21h00 à fin de service entre les arrêts CHATILLON - MONTROUGE et GEORGES POMPIDOU sur la ligne T6 du Tramway jusqu'au vendredi 17 décembre 2021. Des bus de remplacement sont mis à disposition.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>;line;C01794
2021-11-28T05:59:00+01:00;2021-11-28T13:01:00+01:00;2021-11-15T10:58:20+01:00;future;perturbation;Métro 4, travaux de modernisation.;<p><p></p></p><p>En raison de travaux, le trafic est interrompu sur l'ensemble de la ligne, du 22 août au 19 décembre inclus, uniquement les dimanches de 5h00 jusqu'à 12h00.</p><p>Toute la journée les dimanches : 26 septembre,10 octobre, 7 et 21 novembre,5 et 19 décembre.</p><p>le trafic est interrompu également sur l'ensemble de la ligne, du 30 août au 30 décembre inclus, du lundi au jeudi uniquement, de 22h15 à fin de service.</p><p>Pour plus d'informations,&nbsp;stop_point;monomodalStopPlace:42585
