debut application;fin application;mise a jour;status;cause;titre du message;corps du message;type objet;code objet référentiel IdFM
2021-04-07T13:00:00+02:00;2022-01-04T00:00:00+01:00;2021-04-07T13:09:48+02:00;active;travaux;Ligne 5 - Du 19/04/21 au 03/01/2022 - Déviation secteur Avenue Debasseux vers Coeur de Bourg uniquement;"<p>Suite à des travaux avenue Debasseux au Chesnay-Rocquencourt, les arrêts suivant ne peuvent plus être desservis uniquement vers Coeur de Bourg :</p><p>- Saint-Jean : reportez-vous à l'arrêt Saint-Jean des lignes 1 et 3 situé avenue Foch</p><p>- Reine Amélie de Portugal : reportez-vous à l'arrêt Place de la Loi</p><p><a href=""https://www.phebus.tm.fr/fileadmin/Sites/Phebus/SE_DEPLACER/Affiches_deviations/Ligne_5_-_Du_19_avril_2021_au_3_janvier_2022_-_Deviation_secteur_Reine_Amelie_de_Portugal.pdf"" target=""_blank"">Cliquez ici pour ouvrir le plan de déviation</a></p>";line;C00696
2021-03-24T18:40:00+01:00;2022-04-30T21:40:00+02:00;2021-03-24T18:43:04+01:00;active;travaux;Keolis Val d'Oise bus A : Arrêt ZAE CHEMIN VERT non desservi;"<p><b>À partir du jeudi 25 mars 2021 jusqu’à la fin des travaux</b></p><p>En raison de travaux de voirie, l’arrêt ZAE CHEMIN VERT ne sera pas desservi.</p><p>Veuillez-vous reporter à l’arrêt provisoire, situé sur la route de Clermont, plan ci-dessous, où s’effectueront également les départs et terminus de la ligne A.</p><p>Nous vous prions de bien vouloir nous excuser pour la gêne occasionnée.</p><p><a href=""https://www.keolis-valdoise.com/se-deplacer/voir-toutes-les-infos-trafic/detail-de-linfo-trafic/trafic/main/Alerte/arret-zae-chemin-vert/"" target=""_blank"">en savoir plus</a><br></p>";line;C01659
2021-11-29T22:00:00+01:00;2021-12-03T06:00:00+01:00;2021-11-23T13:40:02+01:00;future;perturbation;RESEAU SENART  DEVIATION L. 53-11 DU 29/11 -03/12;"<p><div class=""fckcontainer"">Du Vendredi 29 novembre au 03 décembre 2021 <br> de 21h00 à 05h00<br>En raison des travaux de voirie, rue Sommeville à Combs la ville, et à la fermeture de celle-ci, une déviation est mise en place. <br>L’arrêt « Collège les Aulnes » situé rue Jean Moulin sera desservi exceptionnellement durant cette période. <br>Les arrêts suivants ne seront pas desservis <br>« Marché »<br>« Place de l’an 2000 » <br>« Monuments aux morts » <br>«  Paloisel »<br>Nous vous prions de bien vouloir nous excuser de la gêne occasionnée.</div><a href='https://www.transdev-idf.com/horaire-ligne-53-senart_519'>En savoir plus sur cette information.</a></p>";line;C00861
2021-11-24T01:00:00+01:00;2021-12-18T00:59:00+01:00;2021-11-24T17:50:03+01:00;active;perturbation;BRUNOY - Avenue du Général Goutierre (A);"<p><div class=""fckcontainer""><br><p>En raison des travaux Avenue du G&eacute";line;C00580
2021-10-23T02:00:00+02:00;2021-12-05T00:59:00+01:00;2021-10-19T04:05:00+02:00;active;perturbation;ORSAY - L 7;"<p><div class=""fckcontainer""><p><span class=""underline"">Chaque samedi &agrave";line;C00072
2021-11-17T00:00:00+01:00;2021-11-17T04:00:00+01:00;2021-10-26T10:00:06+02:00;future;travaux;Ligne N : Paris Montp. - Rambouillet 02/11-03/12;"<p>Période : en fin de soirée.<br>Dates : du mardi 02 novembre au vendredi 03 décembre, sauf les samedis, les dimanches et le jeudi 11 novembre.<br>Le trafic est interrompu entre Paris Montparnasse et Rambouillet.<br>Un service de bus de remplacement est mis en place, avec desserte des gares intermédiaires.<br><a href=""https://www.transilien.com/sites/transilien/files/sentinelle-20211102-n-pmp-rbt-jsq3dec-v2 v2.pdf"" target="""">Pour plus d'informations, cliquez ici pour télécharger l'affiche PDF.</a><br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif : travaux.</p>";line;C01736
2018-12-20T01:00:00+01:00;2022-01-01T00:59:00+01:00;2019-01-26T01:13:13+01:00;active;perturbation;Suite a un changement de calendrier, le report initialement prevu demain jeudi20/12/18 est ANNULÉ. L'affectation des quais en GRH reste inchangee.Merci de votre comprehension.|En savoir plus sur cette information|https://www.transdev-idf.com/horaire-ligne-j-bus_en_seine_016;HOUILLES - Report des quais ANNULÉ.;line;C00316
2021-11-30T20:30:00+01:00;2021-12-01T04:30:00+01:00;2021-11-26T11:50:01+01:00;future;perturbation;Ligne 607 - Nuit du 30 novembre 2021;"<p><div class=""fckcontainer""><p>En raison de reconstitution judiciaire, les arr&ecirc";line;C01578
2021-11-25T21:00:00+01:00;2021-11-26T04:00:00+01:00;2021-11-25T12:35:06+01:00;future;travaux;Ligne C : Henri Martin - Pontoise 15-30/11;"<p>Période : à partir de 20h00.<br>Dates : du lundi au vendredi, du 15 au 30 novembre.<br>Le trafic est interrompu :<br>- entre Ermont Eaubonne et Pontoise à partir de 20h00.<br>- entre Avenue Henri Martin et Pontoise à partir de 22h00.<br>Un service de bus de remplacement est mis en place, avec desserte des gares intermédiaires.<br><a href=""https://www.transilien.com/sites/transilien/files/2021-10/20211115-C-S%2046%20%C3%A0%20S%2047%20AHM%20PSE%20Novembre%202021%20%28003%29.pdf "" target="""">Pour plus d'informations du 15 au 26 novembre, cliquez ici pour télécharger l'affiche PDF.</a><br><a href=""https://www.transilien.com/sites/transilien/files/sentinelle-20211129-ahm-pse-29et30nov.pdf"" target="""">Pour plus d'informations du 29 au 30 novembre, cliquez ici pour télécharger l'affiche PDF.</a><br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif : travaux.</p>";line;C01727
2021-12-02T05:00:00+01:00;2021-12-03T03:00:00+01:00;2021-11-02T15:10:08+01:00;active;travaux;Ligne R : horaires modifiés du 2/11 au 11/12;<p>Période : toute la journée.<br>Dates : du 2 novembre au 11 décembre.<br>Certains horaires dans les gares de passage peuvent être modifiés de quelques minutes.<br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif : travaux d'infrastructure entre Fontainebleau et Thomery.</p>;line;C01731
2021-06-17T17:50:00+02:00;2021-12-31T18:50:00+01:00;2021-06-17T17:53:08+02:00;active;travaux;Fermeture de la voie de bus à Athis Mons - Du 1er janvier 2021 jusqu'à la réouverture de la voie de bus;<p><b>Du 1er janvier 2021 jusqu'à la réouverture de la voie de bus</b></p><p> </p><p>En raison de la fermeture de la voie de bus, les arrêts suivants sont reportés sur l'avenue Bernard Lathière, parallèle à la voie de bus :&nbsp;line;C00006
2021-11-08T08:00:00+01:00;2021-11-30T20:00:00+01:00;2021-11-07T02:05:03+01:00;active;perturbation;Transdev STBC Ligne 3s;"<p><div class=""fckcontainer""><p>&nbsp";line;C02130
2021-11-24T01:00:00+01:00;2022-03-01T00:59:00+01:00;2021-11-19T17:50:03+01:00;active;perturbation;Travaux Rue Berthelot;"<p><div class=""fckcontainer""><br><p>&nbsp";line;C00611
2020-11-06T07:00:00+01:00;2021-12-31T21:30:00+01:00;2020-11-05T18:10:03+01:00;active;perturbation;"Ligne 12 : Report arrêt  ""Les Vallées"" vers Cyrano";"<p><div class=""fckcontainer""><br><p>&nbsp";line;C00348
2021-12-28T00:50:00+01:00;2021-12-28T03:50:00+01:00;2021-11-25T13:40:03+01:00;future;travaux;Ligne R : Paris-Héricy-Montereau 24 au 30 décembre;<p>Période : soirées à partir de 00h15.<br>Dates : du vendredi 24 au jeudi30 décembre, sauf samedi et dimanche.<br>Le trafic est interrompu entre Paris Gare de Lyon et Montereau via Héricy.<br>Un service de bus de remplacement est mis en place, avec desserte des gares intermédiaires.<br>Les horaires du calculateur d'itinéraire ne tiennent pas compte des travaux.<br>Motif : travaux.</p>;line;C01731
2021-12-17T22:40:00+01:00;2021-12-18T02:30:00+01:00;2021-11-24T20:15:00+01:00;future;travaux;Ligne C : Javel - St-Quentin/Versail.Ch 13 -17/12;"<p>Dates : du lundi 13 au 17 décembre<br>Le trafic est interrompu à partir de :<br>- 21h40 entre Javel et Saint-Quentin en Yvelines - Montigny-le-Bretonneux<br>- 22h30 entre Javel et Versailles Château Rive Gauche.<br>jusqu'en fin de service.<br>En conséquence, un service de bus de remplacement est mis en place, avec desserte des gares intermédiaires.<br><a href=""https://transilien.com/sites/transilien/files/sentinelle-20211201-c-parisversailleschantiers-du13au17decembre2021 (1).pdf"" target="""">Pour plus d'informations, cliquez ici pour télécharger l'affiche PDF.</a><br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif : travaux de rénovation des quais du centre de maintenance des rames de Trappes</p>";line;C01727
2021-12-28T23:00:00+01:00;2021-12-29T03:00:00+01:00;2021-11-10T12:25:03+01:00;future;travaux;Ligne P : Paris - Coulommiers du 4/10 au 30/12;"<p>Période : de 22h00 à fin de soirée.<br>Dates : du lundi au vendredi,  du 4 octobre au 30 décembre.<br>Le trafic est interrompu entre Paris et Coulommiers.<br>En conséquence, des bus de remplacement sont mis en place, avec desserte des gares intermédiaires.<br><a href=""https://www.transilien.com/sites/transilien/files/sentinelle-20211110-p-pe-cou-nov et dec.pdf"" target=""""><br>Pour plus d'informations, cliquez ici pour télécharger l'affiche PDF.</a><br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif : travaux.</p>";line;C01730
2021-12-01T01:00:00+01:00;2021-12-02T00:59:00+01:00;2021-11-24T10:50:01+01:00;future;perturbation;MLV - L34 et L47 illuminations Serris le 01-12-21;"<p><div class=""fckcontainer""><p>En raison des illuminations pour les f&ecirc";line;C00632
2022-01-31T22:50:00+01:00;2022-02-01T00:50:00+01:00;2021-11-25T19:10:02+01:00;future;travaux;Ligne N : Paris Montp. - Dreux du 24 au 31 janvier;"<p>Période : à partir de 23h30, sauf le 31/1 dès 21h50, jusqu'en fin de soirée,  <br>Dates : du lundi 24 au  lundi 31 janvier 2022,  sauf le samedi et le dimanche.<br>Le trafic est interrompu entre Paris Montparnasse et Dreux.<br>Un service de bus de remplacement est mis en place, avec desserte des gares intermédiaires.<br>Pour rejoindre les gares en direction de Dreux, le service de remplacement est selon la date de votre trajet, au départ de Versailles Chantiers, accessible par train mission VAPO/VOPI, ou Plaisir Grignon, accessible par train mission GAPO,<br><a href=""https://www.transilien.com/sites/transilien/files/sentinelle-20220124-n-pmp-dreux-24au31janvier"" target="""">Pour plus d'informations, cliquez ici pour télécharger l'affiche PDF.</a><br>Les horaires du calculateur d'itinéraire ne tiennent pas compte de ces travaux.<br>Motif : travaux.</p>";line;C01736
2022-01-29T23:50:00+01:00;2022-01-30T09:50:00+01:00;2021-11-25T13:55:17+01:00;future;travaux;Ligne H : Paris - Sarcelles/Ermont 22-30/01;<p>Période : du samedi à partir de 22h50 au dimanche 08h50.<br>Dates : <br>- samedi 22 janvier 2022<br>- samedi 29 janvier 2022<br>Le trafic est interrompu entre Paris Gare du Nord et Sarcelles - Saint-Brice et entre Paris Gare du Nord et Ermont - Eaubonne.<br>Un service de bus de remplacement est mis en place, avec desserte des gares intermédiaires.<br>Les horaires du calculateur d'itinéraire ne tiennent pas compte des travaux.<br>Motif : travaux.</p>;line;C01737
2022-01-23T13:00:00+01:00;2022-01-24T03:30:00+01:00;2021-11-25T17:30:03+01:00;future;travaux;Ligne D : Goussainville - Melun le 23 janvier;<p>Période : de 12h à la fin de soirée   <br>Dates : le dimanche 23 janvier <br>Moins de trains entre Goussainville et Melun.<br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif : travaux.</p>;line;C01728
2021-11-22T01:00:00+01:00;2022-01-23T00:59:00+01:00;2021-11-18T02:15:02+01:00;active;perturbation;Ligne 9 - Argenteuil - Travaux;"<p><div class=""fckcontainer""><p>En raison de travaux, la circulation de votre ligne sera modifi&eacute";line;C00298
2021-11-22T01:00:00+01:00;2021-12-18T00:00:00+01:00;2021-11-15T16:08:58+01:00;active;perturbation;Travaux - Poissy - Arrêt Commissariat non desservi en direction de Saint-Germain-en-Laye du 22/11 au 17/12/2021.;<p>En raison de travaux gaz liés au chantier du T13,</p><p>avenue Fernand Lefèbvre à Poissy,</p><p>les lignes 3 et 26 sont déviées en direction de Saint-Germain-en-Laye.</p><p>L’arrêt Commissariat ne sera pas desservi</p><p><p></p></p><p>du 22 novembre au 17 décembre 2021.</p><p>Report à l'arrêt Le Cep.</p><p>Nous vous prions de nous excuser de la gêne occasionnée.</p>;line;C00640
2021-10-25T02:00:00+02:00;2021-12-04T00:59:00+01:00;2021-10-21T04:20:07+02:00;active;perturbation;Ligne 34 - Bezons - Travaux;"<p><div class=""fckcontainer""><p>En raison de travaux, la circulation de votre ligne sera modifi&eacute";line;C00306
2021-11-08T09:00:00+01:00;2022-07-05T20:30:00+02:00;2021-10-22T12:40:02+02:00;active;perturbation;Modification d'horaires;"<p><div class=""fckcontainer""><p>Mesdames, Messieurs,&nbsp";line;C02446
2021-12-06T00:00:00+01:00;2021-12-06T05:15:00+01:00;2021-11-25T12:30:02+01:00;future;travaux;Tramway T1 : Travaux > Trafic interrompu;<p>À partir du dimanche 5 décembre 2021, le dimanche, en raison de travaux, le trafic sera interrompu de 22h00 à fin de service entre les arrêts SAINT-DENIS - GARE et MAIRIE DE VILLENEUVE-LA GARENNE sur la ligne T1 du Tramway jusqu'au dimanche 5 décembre 2021.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>;line;C01389
2021-10-26T13:50:00+02:00;2022-12-31T14:50:00+01:00;2021-10-26T16:05:23+02:00;active;travaux;KEOLIS CIF BUS 11 : Arrêts LYCEE PAUL ELUARD et CITE LANGEVIN non desservis;"<p>En raison de travaux de voirie Boulevard Carnot, <b>les arrêts LYCEE PAUL ELUARD et CITE LANGEVIN ne seront pas desservis vers Goussainville, du mardi 26 octobre 2021 jusqu’à fin des travaux.</b></p><p>Veuillez vous reporter au poteau provisoire en face de l’arrêt Marché de Saint-Denis et à l’arrêt Université Paris VIII</p><p>Nous vous prions de bien vouloir nous excuser pour la gêne occasionnée.</p><p> </p><p><a href=""https://www.keolis-cif.com/se-deplacer/voir-toutes-les-infos-trafic/details-de-linfo-trafic/trafic/main/Alerte/arrets-marche-de-saint-denis-lycee-paul-eluard-et-cite-langevin-non-desservis-vers-goussainville/"" target=""_blank"">En savoir plus</a><br></p>";line;C00191
2021-11-24T01:00:00+01:00;2021-12-02T00:59:00+01:00;2021-11-22T17:35:08+01:00;active;perturbation;Travaux Rue du Général Leclerc à Louveciennes;"<p><div class=""fckcontainer"">En raison de travaux Rue du Général Leclerc à Louveciennes les mercredis 24 novembre et 1er décembre de 09h00 à 17h00, la ligne 6 sera déviée de la manière suivante :<br>En direction des Demeures, l'arrêt ""Mairie"" ne sera pas desservi.<br>En direction de la gare, les arrêts ""Mairie"" et ""Croix Rouge"" ne seront pas desservis. <br>Nous vous prions de bien vouloir nous excuser pour la gêne occasionnée.</div><a href='https://www.transdev-idf.com/horaire-ligne-06-est_yvelines_213'>En savoir plus sur cette information.</a></p>";line;C01489
2021-11-15T10:50:00+01:00;2021-12-20T05:00:00+01:00;2021-11-15T11:07:11+01:00;active;perturbation;Métro 4, travaux de modernisation.;<p></p><p></p><p></p><p>En raison de travaux, le trafic est interrompu sur l'ensemble de la ligne, du 22 août au 19 décembre inclus, uniquement les dimanches de 5h00 jusqu'à 12h00.</p><p>Toute la journée les dimanches : 26 septembre,10 octobre, 7 et 21 novembre,5 et 19 décembre.</p><p>le trafic est interrompu également sur l'ensemble de la ligne, du 30 août au 23 décembre inclus, du lundi au jeudi uniquement, de 22h15 à fin de service.</p><p>Pour plus d'informations,&nbsp;stop_point;monomodalStopPlace:44909
2021-12-03T00:20:00+01:00;2021-12-03T04:00:00+01:00;2021-09-27T21:45:25+02:00;future;travaux;Ligne D : Paris Nord - Creil du 29/11 au 3/12;<p>Période :  à partir de 23h20 jusqu'en fin de soirée  <br>Dates : du lundi 29 novembre au vendredi 3 décembre 2021  <br>Le trafic est interrompu entre Paris Gare du Nord et Creil.<br>Un service de bus de remplacement est mis en place au départ de la station Saint Denis Université (Métro Ligne 13), avec desserte des gares intermédiaires.<br>Les horaires du calculateur d'itinéraire ne tiennent pas compte des travaux.<br>Motif : travaux.</p>;line;C01728
2021-09-06T10:30:00+02:00;2021-12-31T10:00:00+01:00;2021-09-06T14:25:06+02:00;active;perturbation;Ligne 11 : Déviation arrêts supprimés;"<p><div class=""fckcontainer""><p>&nbsp";line;C00347
2021-06-28T07:30:00+02:00;2021-12-31T23:00:00+01:00;2021-09-23T19:55:43+02:00;active;perturbation;Travaux Avenue Debasseux;"<p><div class=""fckcontainer""><br><p>Mesdames, Messieurs,</p><br><p>En raison de travaux avenue Debasseux au Chesnay-Rocquencourt, l'arr&ecirc";line;C02446
2021-09-13T06:00:00+02:00;2022-01-03T00:30:00+01:00;2021-09-10T15:10:30+02:00;active;perturbation;Travaux - Stade Lucien DESTAL;"<p><div class=""fckcontainer""><p>&nbsp";line;C00551
2021-06-23T02:00:00+02:00;2021-12-18T00:59:00+01:00;2021-10-05T14:42:09+02:00;active;travaux;Prolongation de perturbations sur la ligne 30-49, du mercredi 23 juin 2021 au dimanche 17 décembre 2021;<p>Nous informons notre aimable clientèle qu'en raison de travaux de rénovation de la gare de Franconville, les arrêts « Chaufferie » et « Mare aux Fées » ne seront pas desservis, du mercredi 23 juin 2021 au dimanche 17 décembre 2021. </p><p>De même, l’arrêt « Gare de Franconville » sera provisoirement reporté. Ainsi, le terminus s’effectuera au 112 Boulevard Maurice Berteaux, et le départ de la ligne s'effectuera au 135 Boulevard Maurice Berteaux.</p><p>Merci de votre compréhension.&nbsp;line;C02006
2021-10-29T22:00:00+02:00;2021-10-30T01:10:00+02:00;2021-11-03T14:55:06+01:00;future;travaux;Ligne H : Pontoise - Persan Beaumont 25/10 - 17/12;"<p>Période : de 20h00 à fin de soirée.<br>Dates : du lundi 25 octobre au vendredi 17 décembre sauf week-ends.<br>Le trafic est interrompu entre Pontoise et Persan Beaumont.<br>En conséquence, un service de bus de remplacement est mis en place, avec desserte des gares intermédiaires.<br><a href=""https://www.transilien.com/sites/transilien/files/2021-10/20211025-H-32%20BUS%20PONTOISE%20-%20PERSAN%20%2025%20OCT%20AU%2026%20NOV.pdf "" target="""">Pour plus d'informations sur les horaires des bus du 25 octobre au 26 novembre, cliquez ici pour télécharger l'affiche PDF.</a><br><a href=""https://www.transilien.com/sites/transilien/files/2021-10/20211129-H-33%20BUS%20PONTOISE%20-%20PERSAN%20%2029%20NOV%20AU%2003%20DEC.pdf "" target="""">Pour plus d'informations sur les horaires des bus du 29 novembre au 03 décembre, cliquez ici pour télécharger l'affiche PDF.</a><br><a href=""https://www.transilien.com/sites/transilien/files/sentinelle-20211025-h-ligneh-25octobreau3decembre-flyer"" target=""""><br>Pour plus d'informations sur ces grands travaux de nuit, cliquez ici pour télécharger l'affiche pdf.</a><br>La circulation des trains est également interrompue sur les lignes B (entre Gare du Nord et Mitry Claye) et D (entre Paris Gare de Lyon et Creil).<br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif : travaux.</p>";line;C01737
2022-01-22T05:00:00+01:00;2022-01-23T04:00:00+01:00;2021-11-25T12:45:04+01:00;future;travaux;Ligne H : Persan - Creil 15-23/01;<p>Période : toute la journée<br>Dates : <br>- samedi 15 et dimanche 16 janvier<br>- samedi 22 et dimanche 23 janvier<br>Le trafic est interrompu entre Persan Beaumont et Creil.<br>Un service de bus de remplacement est mis en place, avec desserte des gares intermédiaires.<br>Les horaires du calculateur d'itinéraire ne tiennent pas compte des travaux.<br>Motif : travaux.</p>;line;C01737
2021-12-30T22:00:00+01:00;2021-12-31T04:00:00+01:00;2021-11-19T09:00:04+01:00;future;travaux;Ligne T4 : interrompu 08 novembre au 30 décembre;"<p>Période : à partir de 21h00 du lundi au vendredi.<br>Dates : du lundi 08 novembre au jeudi 30 décembre.<br>Le trafic est interrompu sur l'ensemble de la ligne.<br>Un service de bus de remplacement est mis en place, avec desserte des gares intermédiaires.<br><a href=""https://www.transilien.com/sites/transilien/files/sentinelle-20211108-t4-8novembreau30decembre"" target="""">Pour plus d'informations, cliquez ici pour télécharger l'affiche PDF.</a><br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif : travaux.</p>";line;C01843
2021-11-15T11:20:00+01:00;2021-12-31T13:20:00+01:00;2021-11-15T11:24:01+01:00;active;travaux;KEOLIS CIF BUS 32 32ZA : Arrêt ENTRETIEN NORD non desservi;"<p>En raison d’un affaissement de chaussée à Roissy-en-France, <b>l’arrêt ENTRETIEN NORD ne sera pas desservi en direction de Goussainville du vendredi 12 novembre 2021 jusqu’à fin des travaux.</b></p><p>Veuillez-vous reporter à l’arrêt Convention</p><p>Nous vous prions de bien vouloir nous excuser pour la gêne occasionnée.</p><p><a href=""https://www.keolis-cif.com/se-deplacer/voir-toutes-les-infos-trafic/details-de-linfo-trafic/trafic/main/Alerte/674f9fcfffef8851e0e885146201b430/"" target=""_blank"">En savoir plus</a> <br></p>";line;C01815
2022-01-15T05:30:00+01:00;2022-01-17T03:30:00+01:00;2021-11-25T16:20:02+01:00;future;travaux;Ligne D : Orry la Ville - Creil les 15 et 16/01;<p>Période : toute la journée  <br>Dates : samedi 15 et dimanche 16 janvier<br>Le trafic est interrompu entre Orry-la-Ville - Coye et Creil.<br>Un service de bus de remplacement est mis en place, avec desserte des gares intermédiaires.<br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif : renouvellement des voies et du ballast.</p>;line;C01728
2021-06-29T11:40:00+02:00;2022-07-10T07:40:00+02:00;2021-06-29T11:51:27+02:00;active;travaux;KEOLIS CIF BUS 703 704 : Arrêts RUE DU 26 AOUT 1944 et JEANNINE PERNETTE non desservis;"<p>En raison de travaux sur la commune de Oissery, <b>les arrêts RUE DU 26 AOUT 1944 et JEANNINE PERNETTE à Oissery ne seront plus desservis du mercredi 7 au vendredi 9 juillet 2021.</b></p><p>Veuillez vous reporter à l’arrêt MOULIN A VENT à Saint-Pathus.</p><p>Nous vous prions de bien vouloir nous excuser pour la gêne occasionnée. </p><p><a href=""https://www.keolis-cif.com/se-deplacer/voir-toutes-les-infos-trafic/details-de-linfo-trafic/trafic/main/Alerte/arrets-rue-du-26-aout-1944-et-jeannine-pernette-non-desservis/"" target=""_blank"">En savoir plus </a><br></p>";line;C00247
2021-12-03T20:45:00+01:00;2021-12-04T04:00:00+01:00;2021-10-15T15:25:10+02:00;future;travaux;Ligne H : 25/10 au 3/12;"<p>Période : du lundi au vendredi à partir de 20h00 jusqu'en fin de soirée.<br>Dates : du lundi 25 octobre au vendredi 3 décembre sauf le lundi 1er et jeudi 11 novembre 2021.<br>Le trafic est interrompu sur l'ensemble de la ligne.<br>Un service de bus de remplacement avec des départs depuis la station Ligne M5  Bobigny Pablo-Picasso  est mis en place, avec desserte des gares intermédiaires.<br><a href=""https://www.transilien.com/sites/transilien/files/sentinelle-20211025-h-ligneh-25octobreau3decembre-flyer"" target="""">Pour plus d'informations, cliquez ici pour télécharger l'affiche PDF.</a><br>Nous attirons votre attention sur les travaux et interruptions de circulations des trains sur les lignes B et D sur la même période.<br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif : travaux.</p>";line;C01737
2021-11-08T01:00:00+01:00;2021-12-01T00:59:00+01:00;2021-10-22T13:10:05+02:00;active;perturbation;Marne-la-Vallée L.04 Horaire à/p 08/11/20201;"<p><div class=""fckcontainer""><p>Suite aux travaux sur Thorigny-sur-Marne depuis le 06 septembre 2021, les horaires de la ligne 04 seront adapt&eacute";line;C00622
2020-09-25T08:00:00+02:00;2022-12-31T21:30:00+01:00;2020-09-25T04:20:05+02:00;active;perturbation;Ligne 4 & 12 : Arrêts Division Leclerc;"<p><div class=""fckcontainer""><br><div>&nbsp";line;C00348
2020-07-06T07:30:00+02:00;2022-02-20T03:30:00+01:00;2021-01-05T16:35:06+01:00;active;perturbation;Perturbation lignes 32, 33, 62A;"<p><div class=""fckcontainer""><br><p>&nbsp";line;C00868
2021-10-15T13:50:00+02:00;2022-01-01T00:59:00+01:00;2021-10-15T13:54:21+02:00;active;perturbation;Ligne 408 - Travaux à Evry-Courcouronnes;<p>En raison de travaux, les arrêts Beauvoir, Les Tourelles et Le Grippet ne seront pas desservis à partir du 18 octobre 2021 jusqu'à la fin des travaux. Arrêts de report: Bonhomme en Pierre et Gare du Bras de Fer</p>;line;C01623
2021-09-07T06:30:00+02:00;2022-01-03T00:00:00+01:00;2021-09-06T14:55:03+02:00;active;perturbation;Travaux - Stade Lucien DESTAL;"<p><div class=""fckcontainer""><p>&nbsp";line;C00546
2021-09-16T02:00:00+02:00;2022-02-01T00:59:00+01:00;2021-09-15T19:30:48+02:00;active;perturbation;Réseau Aérial - Travaux Place de l'Etape (ISP-040);"<p><div class=""fckcontainer""><p><span style=""text-decoration-line: underline";line;C00813
2021-11-29T10:00:00+01:00;2021-12-03T18:00:00+01:00;2021-11-24T17:05:03+01:00;active;perturbation;Travaux d'accessibilité - Place Rostand;"<p><div class=""fckcontainer""><p>Du lundi 29 novembre au  vendredi 3 d&eacute";line;C00902
2021-11-26T12:20:00+01:00;2021-12-01T18:20:00+01:00;2021-11-26T12:24:08+01:00;active;travaux;PERTURBATION LIGNES 42 ET 44;<p>LE MERCREDI 1er DECEMBRE 2021 DE 08H00 A 17H00</p><p>En raison de travaux sur la rue Henri Prou aux Clayes-sous-Bois, </p><p>les arrêts « Les Dames », « Avre », « Place Mandela » et « Cimetière » (L44) ne seront pas desservis. </p><p>Merci de vous reporter à l’arrêt provisoire situé rue Jacques Duclos, au niveau du chemin des eaux entre le tennis club et l’école Henri Prou.</p><p>Exceptionnellement, la ligne 42 desservira l’arrêt Vallée des Entrepreneurs.</p><p>Pour visualiser la note&nbsp;line;C00571
2021-12-31T23:00:00+01:00;2022-01-01T04:00:00+01:00;2021-11-15T16:40:05+01:00;future;travaux;Ligne P : Paris Est-Château-Thierry du 13 au 31/12;"<p>Période : à partir de 22h00 jusqu'en fin de soirée, du lundi au vendredi<br>Dates : du lundi 13 au  vendredi 31 décembre 2021<br>Le trafic est interrompu entre Paris Est et Château-Thierry.<br>Un service de bus de remplacement est mis en place, avec desserte des gares intermédiaires.<br><a href=""https://www.transilien.com/sites/transilien/files/sentinelle-20211213-p-parisest-chateauthierry-13au31decembre"" target=""""><br>Pour plus d'informations, cliquez ici pour télécharger l'affiche PDF.</a><br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif : travaux .</p>";line;C01730
2021-10-30T16:00:00+02:00;2022-05-31T03:00:00+02:00;2021-10-28T16:16:51+02:00;active;travaux;Ligne 53 - Du 30/10/2021 au mardi 31/5/2022 - Déviation secteur av. du Gal de Gaulle à Saint-Cyr-l'école;"<p>Suite à des travaux, les arrêts Charles Renard, Jean-Baptiste Lully et Le Clos-Saint-Cyr ne peuvent plus être desservis.</p><p>Reportez-vous à l'arrêt Tom Morel, Georges-Marie Guynemer ou Docteur Vaillant</p><p><a href=""https://www.phebus.tm.fr/fileadmin/Sites/Phebus/SE_DEPLACER/Affiches_deviations/Ligne_53_-_du_23_aout_2021_au_mardi_31_mai_2022_-_deviation_secteur_Avenue_du_Gal_de_Gaulle_-_Saint-Cyr.pdf"" target=""_blank"">Cliquez ici pour ouvrir le plan de déviation</a></p>";line;C02183
